"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\fullstack\server\database.js", "JavaScript", 0, 9, 0, 2, 11
"d:\fullstack\server\index.js", "JavaScript", 0, 21, 0, 3, 24
"d:\fullstack\server\middlewares\friends_validator.js", "JavaScript", 0, 14, 24, 3, 41
"d:\fullstack\server\middlewares\user_validator.js", "JavaScript", 0, 1, 0, 2, 3
"d:\fullstack\server\middlewares\verifying_online_stuff.js", "JavaScript", 0, 0, 0, 1, 1
"d:\fullstack\server\models\comment.model.js", "JavaScript", 0, 23, 0, 4, 27
"d:\fullstack\server\models\post.model.js", "JavaScript", 0, 39, 0, 3, 42
"d:\fullstack\server\models\reaction.model.js", "JavaScript", 0, 16, 0, 2, 18
"d:\fullstack\server\models\users.model.js", "JavaScript", 0, 18, 0, 4, 22
"d:\fullstack\server\package-lock.json", "JSON", 1936, 0, 0, 1, 1937
"d:\fullstack\server\package.json", "JSON", 23, 0, 0, 1, 24
"d:\fullstack\server\socket.handler.js", "JavaScript", 0, 610, 69, 12, 691
"Total", "-", 1959, 751, 93, 38, 2841
